id;duration_ms;name;artist_display_name;album_display_name;isrc
3072107;320244;Images 1, I. Reflets dans l'eau;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616101
3072123;422852;Images 1, II. Hommage a Rameau;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616102
3072128;211486;Images 1, III. Mouvement;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616103
3072133;282554;Images 2, I. Cloches a trevers les feuilles;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616104
3072138;320418;Images 2, II. Et la lune descend sur le temple qui fut;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616105
3072143;240548;Images 2, III. Poissons d'or;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616106
3072148;339404;Estampes, I. Pagodes;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616107
3072156;331740;Estampes, II. La soiree dans Grenade;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616108
3072161;232241;Estampes, III. Jardins sous la pluie;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616109
3072166;295095;Images Oubliees, I. Lent (Melancolique et doux);François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616110
3072171;271070;Images Oubliees, II. Dans le mouvement d'une Sarabande;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616111
3072176;288449;Images Oubliees, III. Quelquies aspects de Nous n'irons plus au bois;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616112
3072181;292656;La plus que lente (Valse);François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616113
3072186;328244;L'isle Joyeuse;François-Joël Thiollier;Debussy: Piano Works, Volume 3;HKI199616114
3072210;148378;Preludes, Book 1: Danseuses de Delphes;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716201
3072217;202375;Preludes, Book 1: Voiles;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716202
3072221;127450;Preludes, Book 1: Le vent dans la plaine;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716203
3072228;182371;Preludes, Book 1: Les sons et les parfums tournent dans l'air du soir;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716204
3072232;180347;Preludes, Book 1: Les collines d'Anacapri;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716205
3072236;217583;Preludes, Book 1: Des pas sur la neige;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716206
3072240;177387;Preludes, Book 1: Ce qu'a vu le vent d'ouest;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716207
3072244;138999;Preludes, Book 1: La fille aux cheveux de lin;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716208
3072248;148847;Preludes, Book 1: La serenade interrompue;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716209
3072252;351946;Preludes, Book 1: La cathedrale engloutie;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716210
3072256;174104;Preludes, Book 1: La danse de Puck;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716211
3072260;130062;Preludes, Book 1: Minstrels;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716212
3072264;159459;Preludes, Book 2: Brouillards;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716213
3072268;139629;Preludes, Book 2: Feuilles mortes;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716214
3072272;177105;Preludes, Book 2: La Puerta del Vino;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716215
3072276;184971;Preldues, Book 2: Les fees sont d'exquises danseuses;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716216
3072280;141558;Preludes, Book 2: Bruyeres;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716217
3072284;152814;Preludes, Book 2: General Lavine, eccentric;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716218
3072291;216430;Preludes, Book 2: La terrasse des audiences du clair de lune;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716219
3072295;188990;Preludes, Book 2: Ondine;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716220
3072306;155238;Preludes, Book 2: Hommage a S. Pickwick Esq. P.P.M.P.C.;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716221
3072310;115565;Preludes, Book 2: Canope;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716222
3072314;167499;Preludes, Book 2: Les tierces alternees;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716223
3072318;240214;Preludes, Book 2: Feux d'artifice;François-Joël Thiollier;Debussy: Piano Works, Volume 4;HKI199716224
