song_id;language;field;value
3072107;JA;name;映像 第1集: 水の反映
3072123;JA;name;映像 第1集: ラモーを讃えて
3072128;JA;name;映像 第1集: 運動
3072133;JA;name;映像 第2集: 葉末を渡る鐘の音
3072138;JA;name;映像 第2集: そして月は荒れ寺に落ちる
3072143;JA;name;映像 第2集: 金色の魚
3072148;JA;name;版画: 塔
3072156;JA;name;版画: グラナダの夕べ
3072161;JA;name;版画: 雨の庭
3072166;JA;name;忘れられた映像: レント(憂鬱に、そしてやさしく)
3072171;JA;name;忘れられた映像: ルーブルの思い出
3072176;JA;name;忘れられた映像: 「いやな天気だから、もう森には行かない」の諸相
3072181;JA;name;レントよりもおそく
3072186;JA;name;喜びの島
3072210;JA;name;前奏曲集 第1巻: デルフォイの舞姫
3072217;JA;name;前奏曲集 第1巻: 帆
3072221;JA;name;前奏曲集 第1巻: 野を渡る風
3072228;JA;name;前奏曲集 第1巻: 音と香りは夕べの大気の中に漂う
3072232;JA;name;前奏曲集 第1巻: アナカプリの丘
3072236;JA;name;前奏曲集 第1巻: 雪の上の足あと
3072240;JA;name;前奏曲集 第1巻: 西風の見たもの
3072244;JA;name;前奏曲集 第1巻: 亜麻色の髪の乙女
3072248;JA;name;前奏曲集 第1巻: さえぎられたセレナード
3072252;JA;name;前奏曲集 第1巻: 沈める寺
3072256;JA;name;前奏曲集 第1巻: パックの踊り
3072260;JA;name;前奏曲集 第1巻: 吟遊詩人
3072264;JA;name;前奏曲集 第2巻: 霧
3072268;JA;name;前奏曲集 第2巻: 枯れ葉
3072272;JA;name;前奏曲集 第2巻: ビーニョの門
3072276;JA;name;前奏曲集 第2巻: 妖精たちはあでやかな舞姫
3072280;JA;name;前奏曲集 第2巻: ヒースの草むら
3072284;JA;name;前奏曲集 第2巻: 風変わりなラヴィーヌ将軍
3072291;JA;name;前奏曲集 第2巻: 月の光がそそぐテラス
3072295;JA;name;前奏曲集 第2巻: 水の精
3072306;JA;name;前奏曲集 第2巻: ピックウィック氏をたたえて
3072310;JA;name;前奏曲集 第2巻: エジプトの壷
3072314;JA;name;前奏曲集 第2巻: 交代する三度
3072318;JA;name;前奏曲集 第2巻: 花火
3320151;JA;name;J.S. バッハ:無伴奏ヴァイオリン パルティータ第2番 ニ短調 BWV 1004 - サラバンド
3320157;JA;name;J.S. バッハ:無伴奏ヴァイオリン・ソナタ第3番 ハ長調 BWV 1005 - アダージョ
3320163;JA;name;J.S. バッハ:無伴奏ヴァイオリン・ソナタ第3番 ハ長調 BWV 1005 - アレグロ・アッサイ
3320165;JA;name;J.S. バッハ:無伴奏ヴァイオリン パルティータ第3番 ホ長調 BWV 1006 - プレリュード
3320173;JA;name;J.S. バッハ:無伴奏ヴァイオリン パルティータ第3番 ホ長調 BWV 1006 - メヌエット Ⅱ
3320175;JA;name;J.S. バッハ:無伴奏ヴァイオリン パルティータ第3番 ホ長調 BWV 1006 - ブレー
3320177;JA;name;J.S. バッハ:無伴奏ヴァイオリン パルティータ第3番 ホ長調 BWV 1006 - ジーグ
3320965;JA;name;ショパン:ピアノ協奏曲第1番 ホ短調 Op. 11 - I. Allegro maestoso
3320969;JA;name;ショパン:ピアノ協奏曲第1番 ホ短調 Op. 11 - III. Rondo: Vivace
3320975;JA;name;ショパン:ピアノ協奏曲第2番 ヘ短調 Op. 21 - III. Allegretto vivace
3339370;JA;name;ビゼー: 歌劇 「カルメン」 - ハバネラ
3339386;JA;name;ビゼー: 「カルメン」 第1組曲 - 闘牛士
3339398;JA;name;ビゼー:  「カルメン」 第2組曲 - ジプシーの歌
3339406;JA;name;ビゼー: 「アルルの女」 第1組曲 - メヌエット
3339410;JA;name;ビゼー: 「アルルの女」 第1組曲 - アダージェット
3339414;JA;name;ビゼー: 「アルルの女」 第2組曲 - パストラール
3339422;JA;name;ビゼー: 「アルルの女」 第2組曲 - ファランドール
5815307;JA;name;ベルガマスク組曲: 前奏曲
5815316;JA;name;ベルガマスク組曲: メヌエット
5815322;JA;name;ベルガマスク組曲: 月の光
5815328;JA;name;ベルガマスク組曲: パスピエ
5815334;JA;name;夜想曲
5815340;JA;name;ボヘミア舞曲
5815346;JA;name;夢
5815352;JA;name;マズルカ
5815358;JA;name;アラベスク第1番
5815364;JA;name;アラベスク第2番
5815370;JA;name;ロマンティックなワルツ
5815376;JA;name;バラード
5815382;JA;name;スティリー風タランテッラ
5815388;JA;name;ピアノのために: 前奏曲
5815394;JA;name;ピアノのために: サラバンド
5815400;JA;name;ピアノのために: トッカータ
5839304;JA;name;ヴィヴァルディ: フルート協奏曲第3番 ニ長調 Op.10-3 RV.428 「ごしきひわ」 - I. Allegro
5839308;JA;name;ヴィヴァルディ: フルート協奏曲第3番 ニ長調 Op.10-3 RV.428 「ごしきひわ」 - II. Cantabile
5839336;JA;name;ヴィヴァルディ: 2つのトランペットのための協奏曲 ハ長調 RV.537 - I. Allegro
5839340;JA;name;ヴィヴァルディ: 2つのトランペットのための協奏曲 ハ長調 RV.537 - II. Largo
5839344;JA;name;ヴィヴァルディ: 2つのトランペットのための協奏曲 ハ長調 RV.537 - III. Allegro
5839352;JA;name;ヴィヴァルディ: チェロ協奏曲 ハ短調 RV.401 - I. Allegro non molto
5839356;JA;name;ヴィヴァルディ: チェロ協奏曲 ハ短調 RV.401 - II. Adagio
5839364;JA;name;ヴィヴァルディ: ヴァイオリン協奏曲集 「四季」 Op.8 - へ短調 RV.297 「冬」 - IV. Largo
5839372;JA;name;ヴィヴァルディ: フラウティーノ協奏曲 ハ長調 Op.44-9 RV.443 - II. Largo
5839376;JA;name;ヴィヴァルディ: フラウティーノ協奏曲 ハ長調 Op.44-9 RV.443 - III. Allegro molto
5839384;JA;name;ヴィヴァルディ: ファゴット協奏曲 ホ短調 RV.484 - I. Allegro poco
5912861;JA;name;グリーグ: ピアノ協奏曲 イ短調 Op.16 - I. Allegro molto moderato
5912874;JA;name;グリーグ: 2つの悲しい旋律 Op. 34 - II. 過ぎし春
5912891;JA;name;グリーグ:  「ペール・ギュント」 第1組曲 Op.46 - 朝
5912922;JA;name;グリーグ:  「ペール・ギュント」 第1組曲 Op.46 - 山の魔王の宮殿にて
5912926;JA;name;グリーグ:  「ペール・ギュント」 第2組曲 Op.55 - アラビアの踊り
5912969;JA;name;グリーグ: 抒情小品集第5巻 Op.54 - III. 夜想曲
